date,opportunity_id,product_area,active_accounts,pricing_recommendations,adoption_rate,override_rate,explainability_open_rate,approval_latency_hours,manual_export_count,data_freshness_score
2026-01-07,OPP-002,Public market intelligence,50,464,0.5,0.196,0.521,26.5,23,0.99
2026-01-07,OPP-003,Amenities and specials,51,516,0.662,0.274,0.515,26.9,21,0.952
2026-01-07,OPP-004,Amenities and specials,61,277,0.526,0.214,0.434,21.9,34,0.916
2026-01-07,OPP-005,Reporting,41,308,0.582,0.167,0.51,25.4,22,0.99
2026-01-07,OPP-006,Implementation readiness,52,483,0.528,0.162,0.577,21.6,28,0.88
2026-01-07,OPP-007,Security and privacy,40,260,0.531,0.27,0.615,27.1,29,0.896
2026-01-07,OPP-008,AI insights,62,416,0.659,0.116,0.489,19.8,22,0.959
2026-01-08,OPP-001,Lease and renewal pricing,45,157,0.643,0.081,0.557,22.6,19,0.878
2026-01-08,OPP-002,Public market intelligence,58,410,0.584,0.266,0.556,28.1,15,0.88
2026-01-08,OPP-003,Amenities and specials,54,145,0.682,0.17,0.539,28.4,34,0.99
2026-01-08,OPP-004,Amenities and specials,59,499,0.535,0.254,0.699,23.8,26,0.821
2026-01-08,OPP-005,Reporting,23,165,0.495,0.333,0.624,16.2,9,0.899
2026-01-08,OPP-006,Implementation readiness,33,257,0.602,0.278,0.605,6.5,32,0.889
2026-01-08,OPP-007,Security and privacy,29,415,0.441,0.192,0.708,22.6,9,0.946
2026-01-08,OPP-008,AI insights,39,241,0.616,0.223,0.443,16.2,17,0.81
2026-01-09,OPP-001,Lease and renewal pricing,56,376,0.461,0.223,0.725,27.6,22,0.986
2026-01-09,OPP-002,Public market intelligence,42,348,0.592,0.218,0.634,21.2,7,0.948
2026-01-09,OPP-003,Amenities and specials,30,190,0.669,0.193,0.578,22.4,13,0.882
2026-01-09,OPP-004,Amenities and specials,30,518,0.548,0.332,0.428,21.2,24,0.96
2026-01-09,OPP-005,Reporting,41,119,0.668,0.24,0.312,12.7,9,0.942
2026-01-09,OPP-006,Implementation readiness,41,389,0.444,0.13,0.616,23.8,38,0.9
2026-01-09,OPP-007,Security and privacy,43,112,0.583,0.229,0.689,24.8,13,0.859
2026-01-09,OPP-008,AI insights,49,499,0.647,0.196,0.392,16.8,7,0.841
2026-01-10,OPP-001,Lease and renewal pricing,58,221,0.616,0.228,0.711,22.0,33,0.877
2026-01-10,OPP-002,Public market intelligence,55,134,0.563,0.229,0.659,10.4,24,0.949
2026-01-10,OPP-003,Amenities and specials,29,278,0.759,0.153,0.852,19.8,10,0.929
2026-01-10,OPP-004,Amenities and specials,21,447,0.531,0.335,0.38,15.6,18,0.862
2026-01-10,OPP-005,Reporting,44,317,0.572,0.117,0.389,29.6,10,0.847
2026-01-10,OPP-006,Implementation readiness,61,160,0.593,0.133,0.68,28.3,21,0.869
2026-01-10,OPP-007,Security and privacy,47,448,0.46,0.327,0.57,25.2,30,0.944
2026-01-10,OPP-008,AI insights,64,444,0.535,0.24,0.567,30.4,29,0.93
2026-01-11,OPP-001,Lease and renewal pricing,64,288,0.707,0.174,0.423,23.0,4,0.96
2026-01-11,OPP-002,Public market intelligence,56,231,0.632,0.264,0.479,9.1,8,0.893
2026-01-11,OPP-003,Amenities and specials,22,164,0.743,0.183,0.611,11.8,11,0.99
2026-01-11,OPP-004,Amenities and specials,27,387,0.507,0.173,0.582,21.9,9,0.99
2026-01-11,OPP-005,Reporting,32,226,0.481,0.251,0.479,37.6,37,0.88
2026-01-11,OPP-006,Implementation readiness,56,197,0.554,0.142,0.534,13.5,26,0.878
2026-01-11,OPP-007,Security and privacy,33,356,0.34,0.163,0.501,15.0,19,0.825
2026-01-11,OPP-008,AI insights,55,425,0.61,0.145,0.71,47.6,14,0.981
2026-01-12,OPP-001,Lease and renewal pricing,39,322,0.535,0.16,0.487,11.2,11,0.88
2026-01-12,OPP-002,Public market intelligence,18,235,0.539,0.19,0.548,29.1,33,0.97
2026-01-12,OPP-003,Amenities and specials,45,409,0.615,0.179,0.774,23.1,4,0.904
2026-01-12,OPP-004,Amenities and specials,39,209,0.476,0.368,0.528,31.2,12,0.913
2026-01-12,OPP-005,Reporting,62,204,0.479,0.144,0.577,28.4,32,0.932
2026-01-12,OPP-006,Implementation readiness,51,226,0.506,0.247,0.627,8.7,9,0.968
2026-01-12,OPP-007,Security and privacy,68,176,0.458,0.231,0.41,19.0,9,0.857
2026-01-12,OPP-008,AI insights,52,120,0.588,0.183,0.59,13.2,12,0.952
2026-01-13,OPP-001,Lease and renewal pricing,19,189,0.634,0.213,0.589,20.9,7,0.961
2026-01-13,OPP-002,Public market intelligence,56,313,0.46,0.139,0.526,18.8,29,0.916
2026-01-13,OPP-003,Amenities and specials,18,253,0.69,0.233,0.416,41.8,9,0.886
2026-01-13,OPP-004,Amenities and specials,47,477,0.551,0.173,0.708,25.8,7,0.902
2026-01-13,OPP-005,Reporting,27,145,0.667,0.191,0.589,25.9,21,0.914
2026-01-13,OPP-006,Implementation readiness,19,132,0.685,0.211,0.732,28.9,17,0.868
2026-01-13,OPP-007,Security and privacy,58,506,0.449,0.259,0.647,27.9,21,0.951
2026-01-13,OPP-008,AI insights,62,94,0.495,0.126,0.334,19.1,5,0.873
2026-01-14,OPP-001,Lease and renewal pricing,45,438,0.551,0.204,0.588,36.8,19,0.875
2026-01-14,OPP-002,Public market intelligence,38,317,0.577,0.208,0.731,32.4,8,0.919
2026-01-14,OPP-003,Amenities and specials,61,402,0.618,0.168,0.608,37.0,35,0.928
2026-01-14,OPP-004,Amenities and specials,62,412,0.618,0.202,0.712,7.6,5,0.881
2026-01-14,OPP-005,Reporting,22,262,0.608,0.248,0.548,17.0,27,0.84
2026-01-14,OPP-006,Implementation readiness,48,517,0.519,0.184,0.448,4,36,0.733
2026-01-14,OPP-007,Security and privacy,63,194,0.472,0.282,0.596,24.4,32,0.857
2026-01-14,OPP-008,AI insights,47,481,0.665,0.181,0.443,24.6,16,0.924
2026-01-15,OPP-001,Lease and renewal pricing,26,327,0.543,0.187,0.592,18.5,19,0.943
2026-01-15,OPP-002,Public market intelligence,55,343,0.64,0.079,0.522,25.3,33,0.757
2026-01-15,OPP-003,Amenities and specials,42,171,0.522,0.234,0.484,15.5,23,0.869
2026-01-15,OPP-004,Amenities and specials,24,398,0.513,0.271,0.69,14.5,37,0.855
2026-01-15,OPP-005,Reporting,67,467,0.543,0.102,0.618,7.4,9,0.99
2026-01-15,OPP-006,Implementation readiness,61,216,0.619,0.16,0.559,28.8,5,0.966
2026-01-15,OPP-007,Security and privacy,22,236,0.481,0.25,0.373,10.6,5,0.971
2026-01-15,OPP-008,AI insights,46,91,0.613,0.212,0.758,26.0,11,0.939
2026-01-16,OPP-001,Lease and renewal pricing,25,219,0.661,0.21,0.697,30.2,11,0.88
2026-01-16,OPP-002,Public market intelligence,60,427,0.589,0.205,0.558,23.9,33,0.83
2026-01-16,OPP-003,Amenities and specials,30,116,0.508,0.195,0.731,16.6,7,0.826
2026-01-16,OPP-004,Amenities and specials,34,153,0.428,0.244,0.689,23.3,16,0.835
2026-01-16,OPP-005,Reporting,46,97,0.65,0.274,0.501,9.5,22,0.907
2026-01-16,OPP-006,Implementation readiness,40,129,0.456,0.196,0.597,20.5,18,0.908
2026-01-16,OPP-007,Security and privacy,63,235,0.457,0.19,0.478,15.0,26,0.873
2026-01-16,OPP-008,AI insights,46,351,0.657,0.299,0.456,18.1,15,0.937
2026-01-17,OPP-001,Lease and renewal pricing,22,214,0.62,0.153,0.73,13.9,33,0.869
2026-01-17,OPP-002,Public market intelligence,67,266,0.584,0.128,0.685,31.1,8,0.824
2026-01-17,OPP-003,Amenities and specials,35,213,0.484,0.184,0.512,22.0,38,0.907
2026-01-17,OPP-004,Amenities and specials,49,320,0.407,0.288,0.555,20.0,26,0.965
2026-01-17,OPP-005,Reporting,48,125,0.508,0.148,0.441,28.2,5,0.976
2026-01-17,OPP-006,Implementation readiness,48,417,0.704,0.376,0.569,21.4,31,0.915
2026-01-17,OPP-007,Security and privacy,55,439,0.546,0.343,0.878,16.2,23,0.99
2026-01-17,OPP-008,AI insights,44,509,0.65,0.251,0.62,30.8,19,0.928
2026-01-18,OPP-001,Lease and renewal pricing,25,111,0.626,0.232,0.309,27.3,22,0.848
2026-01-18,OPP-002,Public market intelligence,48,182,0.628,0.222,0.695,11.8,9,0.929
2026-01-18,OPP-003,Amenities and specials,62,157,0.566,0.172,0.775,38.6,25,0.99
2026-01-18,OPP-004,Amenities and specials,58,118,0.498,0.258,0.502,13.8,13,0.891
2026-01-18,OPP-005,Reporting,66,379,0.512,0.265,0.429,57.8,34,0.888
2026-01-18,OPP-006,Implementation readiness,52,237,0.589,0.29,0.69,19.2,16,0.756
2026-01-18,OPP-007,Security and privacy,40,255,0.547,0.168,0.584,44.3,34,0.815
2026-01-18,OPP-008,AI insights,22,315,0.583,0.208,0.6,23.6,11,0.807
2026-01-19,OPP-001,Lease and renewal pricing,48,516,0.664,0.245,0.486,37.6,32,0.912
2026-01-19,OPP-002,Public market intelligence,53,262,0.698,0.22,0.547,36.7,34,0.971
2026-01-19,OPP-003,Amenities and specials,32,505,0.471,0.185,0.48,23.0,16,0.901
2026-01-19,OPP-004,Amenities and specials,61,485,0.52,0.208,0.622,47.9,31,0.852
2026-01-19,OPP-005,Reporting,34,413,0.639,0.204,0.338,19.0,21,0.99
2026-01-19,OPP-006,Implementation readiness,52,245,0.593,0.244,0.388,30.3,32,0.829
2026-01-19,OPP-007,Security and privacy,22,340,0.618,0.241,0.29,14.5,34,0.891
2026-01-19,OPP-008,AI insights,58,215,0.572,0.211,0.411,15.5,6,0.99
2026-01-20,OPP-001,Lease and renewal pricing,55,473,0.646,0.146,0.408,20.8,36,0.767
2026-01-20,OPP-002,Public market intelligence,57,138,0.681,0.191,0.627,20.8,30,0.982
2026-01-20,OPP-003,Amenities and specials,25,271,0.568,0.17,0.697,14.6,31,0.942
2026-01-20,OPP-004,Amenities and specials,67,179,0.598,0.224,0.448,26.0,36,0.876
2026-01-20,OPP-005,Reporting,55,341,0.468,0.246,0.603,22.4,5,0.85
2026-01-20,OPP-006,Implementation readiness,36,362,0.547,0.207,0.396,13.5,21,0.885
2026-01-20,OPP-007,Security and privacy,33,237,0.602,0.202,0.534,19.3,11,0.938
2026-01-20,OPP-008,AI insights,24,193,0.482,0.135,0.496,31.4,11,0.877
2026-01-21,OPP-001,Lease and renewal pricing,38,94,0.658,0.235,0.747,25.2,36,0.825
2026-01-21,OPP-002,Public market intelligence,59,129,0.584,0.147,0.537,25.4,25,0.857
2026-01-21,OPP-003,Amenities and specials,62,466,0.557,0.196,0.5,25.2,26,0.937
2026-01-21,OPP-004,Amenities and specials,63,474,0.501,0.18,0.615,48.1,17,0.874
2026-01-21,OPP-005,Reporting,47,169,0.482,0.217,0.623,28.2,21,0.99
2026-01-21,OPP-006,Implementation readiness,59,371,0.506,0.226,0.409,30.1,12,0.903
2026-01-21,OPP-007,Security and privacy,65,250,0.527,0.233,0.657,27.5,6,0.926
2026-01-21,OPP-008,AI insights,56,328,0.514,0.211,0.737,15.5,6,0.923
2026-01-22,OPP-001,Lease and renewal pricing,64,336,0.59,0.294,0.485,33.8,24,0.878
2026-01-22,OPP-002,Public market intelligence,32,520,0.642,0.215,0.539,19.9,29,0.849
2026-01-22,OPP-003,Amenities and specials,48,154,0.688,0.084,0.509,23.0,6,0.99
2026-01-22,OPP-004,Amenities and specials,68,374,0.413,0.237,0.537,17.7,26,0.872
2026-01-22,OPP-005,Reporting,35,467,0.56,0.18,0.698,24.7,22,0.897
2026-01-22,OPP-006,Implementation readiness,26,390,0.643,0.184,0.523,34.6,20,0.78
2026-01-22,OPP-007,Security and privacy,36,466,0.47,0.166,0.482,19.4,17,0.905
2026-01-22,OPP-008,AI insights,53,105,0.623,0.118,0.476,21.6,12,0.957
2026-01-23,OPP-001,Lease and renewal pricing,20,189,0.573,0.235,0.635,15.9,12,0.913
2026-01-23,OPP-002,Public market intelligence,62,171,0.45,0.192,0.575,20.6,22,0.99
2026-01-23,OPP-003,Amenities and specials,23,419,0.639,0.233,0.456,24.7,24,0.895
2026-01-23,OPP-004,Amenities and specials,30,365,0.432,0.172,0.427,19.5,23,0.952
2026-01-23,OPP-005,Reporting,64,99,0.547,0.205,0.302,21.9,24,0.893
2026-01-23,OPP-006,Implementation readiness,67,133,0.529,0.2,0.653,17.9,17,0.895
2026-01-23,OPP-007,Security and privacy,56,91,0.439,0.24,0.433,40.2,27,0.983
2026-01-23,OPP-008,AI insights,64,159,0.633,0.123,0.607,6.6,5,0.892
2026-01-24,OPP-001,Lease and renewal pricing,40,241,0.592,0.226,0.68,41.8,7,0.885
2026-01-24,OPP-002,Public market intelligence,40,443,0.501,0.316,0.544,30.0,13,0.883
2026-01-24,OPP-003,Amenities and specials,25,194,0.5,0.167,0.528,42.9,7,0.988
2026-01-24,OPP-004,Amenities and specials,64,137,0.534,0.182,0.673,4,6,0.889
2026-01-24,OPP-005,Reporting,38,464,0.657,0.109,0.729,34.6,30,0.868
2026-01-24,OPP-006,Implementation readiness,35,511,0.437,0.171,0.47,23.7,5,0.934
2026-01-24,OPP-007,Security and privacy,36,368,0.552,0.222,0.655,32.5,6,0.99
2026-01-24,OPP-008,AI insights,53,341,0.707,0.233,0.741,28.8,34,0.93
2026-01-25,OPP-001,Lease and renewal pricing,26,203,0.593,0.164,0.643,35.3,30,0.915
2026-01-25,OPP-002,Public market intelligence,48,339,0.345,0.223,0.535,32.6,18,0.958
2026-01-25,OPP-003,Amenities and specials,66,380,0.6,0.165,0.871,22.7,14,0.91
2026-01-25,OPP-004,Amenities and specials,39,446,0.567,0.191,0.551,26.0,14,0.824
2026-01-25,OPP-005,Reporting,57,333,0.45,0.278,0.702,27.9,34,0.99
2026-01-25,OPP-006,Implementation readiness,45,260,0.563,0.118,0.637,18.7,25,0.99
2026-01-25,OPP-007,Security and privacy,39,169,0.523,0.165,0.579,35.3,17,0.902
2026-01-25,OPP-008,AI insights,57,318,0.514,0.176,0.383,20.2,30,0.892
2026-01-26,OPP-001,Lease and renewal pricing,35,122,0.585,0.151,0.429,37.5,32,0.853
2026-01-26,OPP-002,Public market intelligence,49,478,0.637,0.232,0.702,15.8,24,0.901
2026-01-26,OPP-003,Amenities and specials,47,258,0.656,0.123,0.61,19.6,9,0.867
2026-01-26,OPP-004,Amenities and specials,44,130,0.491,0.275,0.291,8.7,24,0.856
2026-01-26,OPP-005,Reporting,48,225,0.585,0.168,0.442,19.7,13,0.894
2026-01-26,OPP-006,Implementation readiness,46,112,0.589,0.239,0.448,39.8,33,0.966
2026-01-26,OPP-007,Security and privacy,41,123,0.387,0.202,0.499,40.0,30,0.858
2026-01-26,OPP-008,AI insights,25,244,0.59,0.248,0.733,28.8,10,0.94
2026-01-27,OPP-001,Lease and renewal pricing,48,451,0.671,0.16,0.418,24.3,38,0.867
2026-01-27,OPP-002,Public market intelligence,22,223,0.498,0.06,0.642,21.7,32,0.925
2026-01-27,OPP-003,Amenities and specials,42,163,0.595,0.197,0.493,32.4,27,0.899
2026-01-27,OPP-004,Amenities and specials,25,448,0.563,0.171,0.436,33.4,28,0.827
2026-01-27,OPP-005,Reporting,45,260,0.564,0.251,0.486,4,35,0.857
2026-01-27,OPP-006,Implementation readiness,50,431,0.515,0.213,0.61,9.1,38,0.99
2026-01-27,OPP-007,Security and privacy,21,108,0.598,0.244,0.517,27.1,10,0.92
2026-01-27,OPP-008,AI insights,25,436,0.583,0.206,0.668,11.9,9,0.881
2026-01-28,OPP-001,Lease and renewal pricing,45,459,0.648,0.161,0.658,40.4,38,0.925
2026-01-28,OPP-002,Public market intelligence,46,198,0.473,0.214,0.762,25.2,14,0.911
2026-01-28,OPP-003,Amenities and specials,36,230,0.603,0.249,0.626,20.6,13,0.841
2026-01-28,OPP-004,Amenities and specials,54,304,0.505,0.291,0.561,23.9,29,0.99
2026-01-28,OPP-005,Reporting,50,150,0.627,0.119,0.738,40.3,24,0.979
2026-01-28,OPP-006,Implementation readiness,67,260,0.684,0.164,0.678,15.4,34,0.864
2026-01-28,OPP-007,Security and privacy,57,157,0.632,0.186,0.549,28.2,12,0.883
2026-01-28,OPP-008,AI insights,57,357,0.553,0.268,0.554,15.2,16,0.94
2026-01-29,OPP-001,Lease and renewal pricing,53,209,0.406,0.22,0.51,25.3,15,0.982
2026-01-29,OPP-002,Public market intelligence,46,468,0.599,0.271,0.449,26.3,32,0.942
2026-01-29,OPP-003,Amenities and specials,18,126,0.642,0.123,0.663,6.0,18,0.888
2026-01-29,OPP-004,Amenities and specials,23,494,0.488,0.191,0.579,46.8,17,0.88
2026-01-29,OPP-005,Reporting,24,393,0.604,0.145,0.552,28.0,30,0.911
2026-01-29,OPP-006,Implementation readiness,43,365,0.415,0.273,0.442,24.1,18,0.894
2026-01-29,OPP-007,Security and privacy,32,185,0.619,0.305,0.517,29.7,20,0.902
2026-01-29,OPP-008,AI insights,51,438,0.494,0.147,0.619,23.9,5,0.842
2026-01-30,OPP-001,Lease and renewal pricing,61,156,0.597,0.248,0.501,28.3,8,0.904
2026-01-30,OPP-002,Public market intelligence,25,274,0.647,0.237,0.506,31.1,13,0.872
2026-01-30,OPP-003,Amenities and specials,24,463,0.575,0.154,0.506,23.9,20,0.831
2026-01-30,OPP-004,Amenities and specials,25,365,0.407,0.182,0.589,29.0,4,0.982
2026-01-30,OPP-005,Reporting,19,394,0.584,0.196,0.654,27.8,30,0.895
2026-01-30,OPP-006,Implementation readiness,20,336,0.607,0.177,0.545,21.9,9,0.891
2026-01-30,OPP-007,Security and privacy,27,159,0.615,0.268,0.577,23.5,23,0.86
2026-01-30,OPP-008,AI insights,42,309,0.546,0.271,0.611,26.0,36,0.846
2026-01-31,OPP-001,Lease and renewal pricing,27,129,0.563,0.154,0.5,39.5,21,0.882
2026-01-31,OPP-002,Public market intelligence,22,333,0.682,0.28,0.485,31.6,16,0.949
2026-01-31,OPP-003,Amenities and specials,67,465,0.541,0.215,0.508,24.7,12,0.858
2026-01-31,OPP-004,Amenities and specials,44,259,0.621,0.178,0.639,19.8,33,0.939
2026-01-31,OPP-005,Reporting,36,430,0.592,0.201,0.664,13.8,19,0.841
2026-01-31,OPP-006,Implementation readiness,22,292,0.422,0.3,0.747,17.4,19,0.87
2026-01-31,OPP-007,Security and privacy,47,348,0.565,0.151,0.699,29.9,33,0.955
2026-01-31,OPP-008,AI insights,31,449,0.52,0.176,0.528,25.9,36,0.966
2026-02-01,OPP-001,Lease and renewal pricing,50,458,0.682,0.13,0.399,29.7,23,0.749
2026-02-01,OPP-002,Public market intelligence,32,325,0.597,0.222,0.564,32.8,30,0.925
2026-02-01,OPP-003,Amenities and specials,38,303,0.617,0.179,0.608,29.5,34,0.806
2026-02-01,OPP-004,Amenities and specials,32,253,0.514,0.201,0.677,27.2,14,0.824
2026-02-01,OPP-005,Reporting,55,297,0.551,0.254,0.526,45.1,25,0.987
2026-02-01,OPP-006,Implementation readiness,42,105,0.496,0.292,0.664,26.9,19,0.888
2026-02-01,OPP-007,Security and privacy,27,96,0.306,0.23,0.698,26.0,19,0.902
2026-02-01,OPP-008,AI insights,42,508,0.659,0.139,0.615,27.6,37,0.968
2026-02-02,OPP-001,Lease and renewal pricing,30,392,0.495,0.179,0.454,34.1,10,0.872
2026-02-02,OPP-002,Public market intelligence,30,103,0.596,0.228,0.464,21.1,26,0.899
2026-02-02,OPP-003,Amenities and specials,60,435,0.613,0.225,0.628,22.5,29,0.898
2026-02-02,OPP-004,Amenities and specials,49,375,0.55,0.32,0.709,15.2,27,0.909
2026-02-02,OPP-005,Reporting,23,363,0.608,0.252,0.388,8.0,14,0.928
2026-02-02,OPP-006,Implementation readiness,44,203,0.586,0.249,0.385,26.3,15,0.99
2026-02-02,OPP-007,Security and privacy,48,503,0.491,0.295,0.739,19.4,28,0.942
2026-02-02,OPP-008,AI insights,23,509,0.678,0.223,0.452,4,22,0.876
2026-02-03,OPP-001,Lease and renewal pricing,45,359,0.653,0.16,0.584,32.1,19,0.978
2026-02-03,OPP-002,Public market intelligence,48,94,0.57,0.327,0.74,18.6,5,0.93
2026-02-03,OPP-003,Amenities and specials,62,97,0.551,0.06,0.528,18.6,25,0.901
2026-02-03,OPP-004,Amenities and specials,27,354,0.576,0.255,0.704,21.3,11,0.954
2026-02-03,OPP-005,Reporting,68,494,0.512,0.18,0.547,25.9,8,0.87
2026-02-03,OPP-006,Implementation readiness,53,445,0.611,0.196,0.468,16.7,33,0.92
2026-02-03,OPP-007,Security and privacy,64,511,0.549,0.244,0.544,19.3,24,0.877
2026-02-03,OPP-008,AI insights,48,369,0.555,0.125,0.539,22.0,16,0.912
2026-02-04,OPP-001,Lease and renewal pricing,67,489,0.631,0.197,0.412,22.7,27,0.905
2026-02-04,OPP-002,Public market intelligence,60,367,0.447,0.115,0.418,17.9,7,0.891
2026-02-04,OPP-003,Amenities and specials,60,408,0.646,0.291,0.521,26.2,10,0.892
2026-02-04,OPP-004,Amenities and specials,38,382,0.542,0.185,0.508,35.9,32,0.902
2026-02-04,OPP-005,Reporting,61,158,0.577,0.253,0.564,22.3,11,0.824
2026-02-04,OPP-006,Implementation readiness,21,277,0.458,0.371,0.801,38.5,30,0.883
2026-02-04,OPP-007,Security and privacy,62,427,0.358,0.296,0.399,16.1,28,0.961
2026-02-04,OPP-008,AI insights,25,123,0.651,0.173,0.495,33.9,34,0.91
2026-02-05,OPP-001,Lease and renewal pricing,24,498,0.684,0.169,0.468,29.5,4,0.951
2026-02-05,OPP-002,Public market intelligence,52,459,0.64,0.245,0.591,20.3,33,0.946
2026-02-05,OPP-003,Amenities and specials,29,334,0.636,0.197,0.853,29.4,30,0.906
2026-02-05,OPP-004,Amenities and specials,26,314,0.441,0.172,0.424,12.3,29,0.94
2026-02-05,OPP-005,Reporting,65,322,0.668,0.162,0.508,18.8,20,0.837
2026-02-05,OPP-006,Implementation readiness,63,278,0.548,0.221,0.665,38.2,24,0.942
2026-02-05,OPP-007,Security and privacy,33,472,0.479,0.276,0.622,20.1,19,0.928
2026-02-05,OPP-008,AI insights,62,519,0.651,0.241,0.37,17.3,37,0.928
2026-02-06,OPP-001,Lease and renewal pricing,52,378,0.672,0.097,0.663,17.9,19,0.816
2026-02-06,OPP-002,Public market intelligence,54,266,0.515,0.188,0.503,20.1,10,0.899
2026-02-06,OPP-003,Amenities and specials,57,118,0.609,0.189,0.567,33.7,26,0.938
2026-02-06,OPP-004,Amenities and specials,23,393,0.492,0.373,0.511,19.9,5,0.905
2026-02-06,OPP-005,Reporting,50,422,0.631,0.169,0.544,25.1,20,0.988
2026-02-06,OPP-006,Implementation readiness,29,448,0.619,0.293,0.506,18.0,26,0.933
2026-02-06,OPP-007,Security and privacy,19,331,0.41,0.334,0.562,25.5,36,0.823
2026-02-06,OPP-008,AI insights,19,254,0.628,0.162,0.619,12.2,8,0.961
2026-02-07,OPP-001,Lease and renewal pricing,20,200,0.59,0.11,0.689,29.0,28,0.945
2026-02-07,OPP-002,Public market intelligence,45,415,0.498,0.212,0.705,23.9,10,0.923
